"No.","Time","Source","Destination","Protocol","Length","Info"
"11403","269.875000","fe80::20a:a:a:a","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11404","269.890000","fe80::202:2:2:2","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11405","269.925000","fe80::218:18:18:18","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11406","269.931040","fe80::20c:c:c:c","fe80::202:2:2:2","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11407","269.933896","","","IEEE 802.15.4","5","Ack"
"11408","270.054000","fe80::206:6:6:6","fe80::201:1:1:1","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11409","270.056856","","","IEEE 802.15.4","5","Ack"
"11410","270.138000","fe80::214:14:14:14","fe80::202:2:2:2","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11411","270.140856","","","IEEE 802.15.4","5","Ack"
"11412","270.154000","fe80::202:2:2:2","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11413","270.156856","","","IEEE 802.15.4","5","Ack"
"11414","270.156952","fe80::218:18:18:18","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11415","270.222000","fe80::213:13:13:13","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11416","270.232000","fe80::20b:b:b:b","fe80::216:16:16:16","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11417","270.234856","","","IEEE 802.15.4","5","Ack"
"11418","270.248000","fe80::211:11:11:11","fe80::216:16:16:16","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11419","270.250856","","","IEEE 802.15.4","5","Ack"
"11420","270.252952","fe80::211:11:11:11","fe80::213:13:13:13","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11421","270.255808","","","IEEE 802.15.4","5","Ack"
"11422","270.316000","fe80::203:3:3:3","fe80::216:16:16:16","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11423","270.318856","","","IEEE 802.15.4","5","Ack"
"11424","270.430000","fe80::212:12:12:12","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11425","270.439000","fe80::20f:f:f:f","fe80::202:2:2:2","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11426","270.441856","","","IEEE 802.15.4","5","Ack"
"11427","270.454000","fe80::210:10:10:10","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11428","270.467000","fe80::202:2:2:2","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11429","270.469856","","","IEEE 802.15.4","5","Ack"
"11430","270.590000","fe80::203:3:3:3","fe80::213:13:13:13","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11431","270.592856","","","IEEE 802.15.4","5","Ack"
"11432","270.607000","fe80::213:13:13:13","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11433","270.609856","","","IEEE 802.15.4","5","Ack"
"11434","270.656000","fe80::210:10:10:10","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11435","270.658856","","","IEEE 802.15.4","5","Ack"
"11436","270.922000","fe80::216:16:16:16","fe80::20b:b:b:b","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11437","270.924856","","","IEEE 802.15.4","5","Ack"
"11438","270.936000","fe80::203:3:3:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11439","270.975000","fe80::20d:d:d:d","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11440","270.977856","","","IEEE 802.15.4","5","Ack"
"11441","270.984000","fe80::213:13:13:13","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11442","270.986856","","","IEEE 802.15.4","5","Ack"
"11443","271.001000","fe80::210:10:10:10","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11444","271.027000","fe80::20d:d:d:d","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11445","271.069000","fe80::20b:b:b:b","fe80::213:13:13:13","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11446","271.071856","","","IEEE 802.15.4","5","Ack"
"11447","271.145000","fe80::214:14:14:14","fe80::202:2:2:2","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11448","271.147856","","","IEEE 802.15.4","5","Ack"
"11449","271.175000","fe80::202:2:2:2","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11450","271.177856","","","IEEE 802.15.4","5","Ack"
"11451","271.184000","fe80::20b:b:b:b","fe80::20d:d:d:d","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11452","271.186856","","","IEEE 802.15.4","5","Ack"
"11453","271.210000","fe80::20d:d:d:d","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11454","271.212856","","","IEEE 802.15.4","5","Ack"
"11455","271.243000","fe80::211:11:11:11","fe80::213:13:13:13","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11456","271.245856","","","IEEE 802.15.4","5","Ack"
"11457","271.312000","fe80::213:13:13:13","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11458","271.436000","fe80::202:2:2:2","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11459","271.438856","","","IEEE 802.15.4","5","Ack"
"11460","271.444000","fe80::20f:f:f:f","fe80::202:2:2:2","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11461","271.446856","","","IEEE 802.15.4","5","Ack"
"11462","271.538000","fe80::20e:e:e:e","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11463","271.564000","fe80::216:16:16:16","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11464","271.586000","fe80::210:10:10:10","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11465","271.588856","","","IEEE 802.15.4","5","Ack"
"11466","271.590000","fe80::20e:e:e:e","fe80::216:16:16:16","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11467","271.592856","","","IEEE 802.15.4","5","Ack"
"11468","271.639000","fe80::218:18:18:18","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11469","271.641856","","","IEEE 802.15.4","5","Ack"
"11470","271.767000","fe80::217:17:17:17","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11471","271.799000","fe80::216:16:16:16","fe80::214:14:14:14","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11472","271.801856","","","IEEE 802.15.4","5","Ack"
"11473","271.820000","fe80::214:14:14:14","fe80::211:11:11:11","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11474","271.822856","","","IEEE 802.15.4","5","Ack"
"11475","271.984000","fe80::214:14:14:14","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11476","272.013000","fe80::203:3:3:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11477","272.072000","fe80::216:16:16:16","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11478","272.093000","fe80::20b:b:b:b","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11479","272.136000","fe80::214:14:14:14","fe80::202:2:2:2","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11480","272.138856","","","IEEE 802.15.4","5","Ack"
"11481","272.150000","fe80::202:2:2:2","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11482","272.152856","","","IEEE 802.15.4","5","Ack"
"11483","272.159000","fe80::202:2:2:2","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11484","272.161856","","","IEEE 802.15.4","5","Ack"
"11485","272.333000","fe80::206:6:6:6","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11486","272.376000","fe80::211:11:11:11","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11487","272.438000","fe80::202:2:2:2","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11488","272.440856","","","IEEE 802.15.4","5","Ack"
"11489","272.444000","fe80::215:15:15:15","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11490","272.458000","fe80::20f:f:f:f","fe80::202:2:2:2","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11491","272.460856","","","IEEE 802.15.4","5","Ack"
"11492","272.536000","fe80::202:2:2:2","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11493","272.641000","fe80::213:13:13:13","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11494","272.643856","","","IEEE 802.15.4","5","Ack"
"11495","272.721000","fe80::204:4:4:4","fe80::211:11:11:11","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11496","272.723856","","","IEEE 802.15.4","5","Ack"
"11497","272.739000","fe80::211:11:11:11","fe80::214:14:14:14","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11498","272.741856","","","IEEE 802.15.4","5","Ack"
"11499","273.020000","fe80::20d:d:d:d","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11500","273.022856","","","IEEE 802.15.4","5","Ack"
"11501","273.119000","fe80::20f:f:f:f","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11502","273.156000","fe80::201:1:1:1","fe80::206:6:6:6","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11503","273.158856","","","IEEE 802.15.4","5","Ack"
"11504","273.200000","fe80::209:9:9:9","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11505","273.210000","fe80::218:18:18:18","fe80::210:10:10:10","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11506","273.212856","","","IEEE 802.15.4","5","Ack"
"11507","273.222000","fe80::210:10:10:10","fe80::20f:f:f:f","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11508","273.224856","","","IEEE 802.15.4","5","Ack"
"11509","273.237000","fe80::20d:d:d:d","fe80::213:13:13:13","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11510","273.239856","","","IEEE 802.15.4","5","Ack"
"11511","273.242000","fe80::209:9:9:9","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11512","273.253000","fe80::204:4:4:4","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11513","273.266000","fe80::202:2:2:2","fe80::20f:f:f:f","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11514","273.268856","","","IEEE 802.15.4","5","Ack"
"11515","273.328000","fe80::204:4:4:4","fe80::20f:f:f:f","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11516","273.330856","","","IEEE 802.15.4","5","Ack"
"11517","273.337000","fe80::20f:f:f:f","fe80::20c:c:c:c","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11518","273.339856","","","IEEE 802.15.4","5","Ack"
"11519","273.375000","fe80::20c:c:c:c","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11520","273.430000","fe80::20f:f:f:f","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"11521","273.612000","fe80::214:14:14:14","fe80::20f:f:f:f","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11522","273.614856","","","IEEE 802.15.4","5","Ack"
"11523","273.652000","fe80::20f:f:f:f","fe80::201:1:1:1","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11524","273.654856","","","IEEE 802.15.4","5","Ack"
"11525","273.709000","fe80::218:18:18:18","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11526","273.725000","fe80::20b:b:b:b","fe80::213:13:13:13","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11527","273.727856","","","IEEE 802.15.4","5","Ack"
"11528","273.746000","fe80::20c:c:c:c","fe80::20f:f:f:f","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11529","273.748856","","","IEEE 802.15.4","5","Ack"
